#iter   time                    x         y         z      curl_n  polarity     eig0_re     eig0_im     eig1_re     eig1_im  type
0       7.322257e-04      24.0938   36.3697   50.0000     -0.0001       1.0     -0.0001      0.0000      0.0002      0.0000  saddle
0       7.322257e-04     -24.4828   44.1824   50.0000     -0.0002       1.0     -0.0001      0.0001     -0.0001     -0.0001  spiral sink
0       7.322257e-04     -29.2017   42.4325   50.0000     -0.0000       1.0     -0.0002      0.0000      0.0001      0.0000  saddle
0       7.322257e-04      38.3738   14.6828   50.0000      0.0000       1.0     -0.0001      0.0000      0.0002      0.0000  saddle
0       7.322257e-04     -41.2400   -9.8452   50.0000      0.0001       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04     -34.2989  -23.1203   50.0000     -0.0001       1.0      0.0000      0.0000      0.0000     -0.0000  spiral source
0       7.322257e-04     -44.2690  -24.0709   50.0000     -0.0000       1.0     -0.0001      0.0000      0.0000      0.0000  saddle
0       7.322257e-04     -39.9334  -36.6420   50.0000     -0.0001       1.0     -0.0001      0.0000      0.0001      0.0000  saddle
0       7.322257e-04     -36.5260   29.5062   50.0000     -0.0000       1.0      0.0001      0.0000     -0.0001      0.0000  saddle
0       7.322257e-04      -0.8303   40.8150   50.0000     -0.0001       1.0      0.0000      0.0000      0.0001      0.0000  source
